epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07602,0,63.4411,0,0,0,0,0,0,16.4067,0,0,0,0
2,6.01525,0,63.5289,0,0,0,0,0,0,16.4126,0,1.28753e-05,1.28753e-05,1.28753e-05
3,8.83768,0,63.372,0,0,0,0,0,0,16.4195,0,2.29212e-05,2.29212e-05,2.29212e-05
4,11.7376,0,63.1278,0,0,0,0,0,0,16.4269,0,3.01376e-05,3.01376e-05,3.01376e-05
5,14.5483,0,62.9013,0,0,0,0,0,0,16.4346,0,3.45246e-05,3.45246e-05,3.45246e-05
6,17.4288,0,62.7019,0,0,0,0,0,0,16.442,0,3.60822e-05,3.60822e-05,3.60822e-05
7,20.3189,0,62.5281,0,0,0,0,0,0,16.4486,0,3.48104e-05,3.48104e-05,3.48104e-05
8,23.1088,0,62.3114,0,0,0,0,0,0,16.455,0,3.07092e-05,3.07092e-05,3.07092e-05
9,26.0011,0,62.0889,0,0,0,0,0,0,16.4603,0,2.37786e-05,2.37786e-05,2.37786e-05
10,28.9137,0,62.1581,0,0,0,0,0,0,16.4653,0,1.40185e-05,1.40185e-05,1.40185e-05
