epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2073,4.66962,12.8558,1.79512,0,0,0,0,3.53438,4.41939,3.17312,0.00013336,0.00013336,0.00013336
2,77.5512,3.82301,6.13681,1.29284,0.00041,0.01333,0.00021,6e-05,4.25515,4.85363,3.4522,0.000269362,0.000269362,0.000269362
3,121.338,3.45636,5.07106,1.14666,0.00023,0.00667,0.00011,2e-05,4.1419,5.08826,3.78729,0.000390511,0.000390511,0.000390511
4,168.038,3.27833,4.34741,1.0737,0,0,0,0,4.08162,4.89644,3.96062,0.000496808,0.000496808,0.000496808
5,213.612,3.19762,4.12598,1.06433,0.00041,0.01333,0.00021,4e-05,4.14758,4.85581,3.69615,0.000588251,0.000588251,0.000588251
6,259.812,3.25373,3.88629,1.05364,0.00021,0.00667,0.00011,2e-05,3.82392,4.61345,3.67988,0.000664841,0.000664841,0.000664841
7,307.26,3.03061,3.6286,1.01963,0.00041,0.01333,0.00021,2e-05,3.97455,4.70027,3.98351,0.000726579,0.000726579,0.000726579
8,354.059,2.99049,3.61824,1.01182,0.00261,0.09333,0.00143,0.00016,4.78761,6.03175,3.75175,0.000773463,0.000773463,0.000773463
9,399.757,2.86829,3.33244,0.98937,0.00219,0.07333,0.00118,0.00018,4.64217,5.01634,3.86322,0.000805494,0.000805494,0.000805494
10,441.129,2.92555,3.31207,1.01301,0.00021,0.00667,0.00011,2e-05,4.31003,4.69485,3.63863,0.000822673,0.000822673,0.000822673
11,478.412,2.74399,3.79769,1.00653,0.00098,0.03333,0.00051,5e-05,4.18411,4.73032,3.7183,0.000824998,0.000824998,0.000824998
12,515.509,2.61514,3.67911,0.98054,0.00096,0.04,0.00055,7e-05,4.92068,4.87243,3.80559,0.000759318,0.000759318,0.000759318
13,550.999,2.71189,3.71575,0.96982,0.00129,0.05333,0.00074,7e-05,4.71337,4.70625,3.48025,0.000676802,0.000676802,0.000676802
14,585.372,2.65143,3.67355,0.97167,0.00094,0.04,0.00057,6e-05,4.82078,4.78118,3.4249,0.000594286,0.000594286,0.000594286
15,620.874,2.51051,3.40352,0.9542,0.00085,0.04,0.0005,5e-05,5.13885,4.87567,3.72978,0.000511769,0.000511769,0.000511769
16,657.426,2.45122,3.28477,0.95607,0.00125,0.06,0.0007,0.00012,4.80056,4.70638,3.74008,0.000429253,0.000429253,0.000429253
17,695.791,2.42541,3.38166,0.94262,0.00208,0.1,0.00115,0.00016,4.80254,4.707,3.69478,0.000346736,0.000346736,0.000346736
18,735.018,2.38931,3.44141,0.93845,0.00175,0.08667,0.00097,0.00014,4.77971,4.79356,3.64482,0.00026422,0.00026422,0.00026422
19,771.799,2.37693,3.31704,0.94939,0.00104,0.05333,0.00058,0.0001,4.90542,4.8981,3.71327,0.000181703,0.000181703,0.000181703
20,809.214,2.50767,3.21243,0.9441,0.00188,0.1,0.00105,0.00017,4.98031,4.99842,3.66406,9.91865e-05,9.91865e-05,9.91865e-05
